Year,Make,Model,Mileage,Price,Drive,Engine,Trim,Exterior_color,Interior_color,Location,Accidents
2018,Acura,TLX,22525,24900.0,FWD,3.5L V-6,3.5L FWD with Technology Package,Red,Beige,"Feasterville, PA",0
2015,Acura,TLX,52442,15950.0,FWD,3.5L V-6,V6 FWD with Technology Package,Silver,Unknown,"Long Beach, CA",0
2015,Acura,TLX,46477,15495.0,FWD,3.5L V-6,V6 FWD,White,Gray,"San Antonio, TX",1
2017,Acura,TLX,33582,13995.0,FWD,2.4L Inline-4,I4 FWD,Black,Black,"Des Plaines, IL",1
2018,Acura,TLX,71220,18995.0,FWD,3.5L V-6,3.5L FWD with Technology Package,White,Black,"Panama City, FL",1
2020,Acura,TLX,6511,33500.0,FWD,3.5L V-6,3.5L FWD with A-Spec Package,White,Black,"Fremont, CA",0
2017,Acura,TLX,22968,22991.0,FWD,3.5L V-6,V6 FWD with Advance Package,Black,Black,"Houston, TX",0
2019,Acura,TLX,28469,25900.0,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,White,Black,"Peoria, AZ",0
2017,Acura,TLX,26828,17999.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Black,"West Palm Beach, FL",0
2016,Acura,TLX,43598,15313.0,FWD,2.4L Inline-4,FWD,White,Unknown,"Austin, TX",0
2017,Acura,TLX,30326,18449.0,FWD,3.5L V-6,V6 FWD,White,Black,"Pembroke Pines, FL",0
2015,Acura,TLX,71199,14998.0,FWD,2.4L Inline-4,FWD with Technology Package,Gray,Black,"Sacramento, CA",1
2015,Acura,TLX,99335,12401.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Black,"Grapevine, TX",0
2017,Acura,TLX,25936,23995.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,White,Black,"Ventura, CA",0
2017,Acura,TLX,47219,15745.0,FWD,2.4L Inline-4,I4 FWD,Gray,Black,"Hopkins, MN",0
2017,Acura,TLX,8188,23490.0,FWD,3.5L V-6,V6 FWD with Technology Package,Black,Gray,"Rosedale, MD",1
2017,Acura,TLX,15835,17000.0,FWD,2.4L Inline-4,I4 FWD,Unknown,Unknown,"Manchester, CT",0
2016,Acura,TLX,18902,18990.0,FWD,3.5L V-6,V6 FWD,Gray,Black,"Seattle, WA",0
2017,Acura,TLX,32477,20601.0,FWD,3.5L V-6,V6 FWD with Technology Package,Silver,Gray,"Vacaville, CA",0
2020,Acura,TLX,4116,35995.0,SH-AWD,3.5L V-6,3.5L SH-AWD with Advance Package,White,Gray,"Lufkin, TX",0
2015,Acura,TLX,55168,14800.0,FWD,3.5L V-6,V6 FWD,White,Gray,"Tulsa, OK",0
2017,Acura,TLX,13922,20995.0,FWD,2.4L Inline-4,I4 FWD,Silver,Black,"Portland, OR",0
2017,Acura,TLX,38277,16448.0,FWD,2.4L Inline-4,I4 FWD,Blue,Black,"Chantilly, VA",0
2017,Acura,TLX,40924,17750.0,FWD,2.4L Inline-4,I4 FWD,White,Black,"Hyattsville, MD",0
2016,Acura,TLX,73752,14700.0,FWD,3.5L V-6,V6 FWD,Black,Gray,"Fort Worth, TX",0
2017,Acura,TLX,26947,20958.0,FWD,3.5L V-6,V6 FWD with Advance Package,Black,Black,"Arlington, VA",0
2017,Acura,TLX,38606,16500.0,FWD,3.5L V-6,V6 FWD,White,Brown,"Fredricksburg, VA",0
2017,Acura,TLX,23144,19889.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,White,Unknown,"Maple Shade, NJ",0
2019,Acura,TLX,18978,29999.0,SH-AWD,3.5L V-6,3.5L SH-AWD with Advance Package,Red,Beige,"Denton, TX",0
2016,Acura,TLX,94153,14487.0,FWD,2.4L Inline-4,FWD with Technology Package,White,Gray,"Tulsa, OK",0
2017,Acura,TLX,36631,17986.0,FWD,2.4L Inline-4,I4 FWD,Silver,Gray,"Fairfield, OH",0
2017,Acura,TLX,24860,17985.0,FWD,2.4L Inline-4,I4 FWD,Gray,Gray,"Virginia Beach, VA",0
2019,Acura,TLX,57654,24867.0,FWD,3.5L V-6,3.5L FWD with A-Spec Package,White,Unknown,"Ocala, FL",0
2015,Acura,TLX,37685,17000.0,FWD,3.5L V-6,V6 FWD with Technology Package,White,Brown,"Tampa, FL",0
2020,Acura,TLX,4553,25988.0,FWD,2.4L Inline-4,2.4L FWD,Silver,Black,"Concord, CA",0
2017,Acura,TLX,42990,17499.0,FWD,3.5L V-6,V6 FWD with Technology Package,White,Black,"Montclair, CA",1
2015,Acura,TLX,67793,13481.0,FWD,2.4L Inline-4,FWD,White,Black,"Houston, TX",0
2017,Acura,TLX,37045,17950.0,FWD,2.4L Inline-4,I4 FWD,Blue,Gray,"Frederick, MD",0
2017,Acura,TLX,20803,19070.0,FWD,2.4L Inline-4,I4 FWD,White,Black,"Middletown, CT",0
2017,Acura,TLX,35168,17990.0,FWD,2.4L Inline-4,I4 FWD,Gray,Black,"Alexandria, VA",0
2017,Acura,TLX,29658,16900.0,FWD,3.5L V-6,V6 FWD,White,Black,"Fredricksburg, VA",0
2017,Acura,TLX,13394,22463.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Black,"Minneapolis, MN",0
2017,Acura,TLX,47310,18699.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Gray,Black,"Temecula, CA",0
2017,Acura,TLX,10970,23488.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Brown,"Gainesville, GA",0
2017,Acura,TLX,33326,18588.0,FWD,3.5L V-6,V6 FWD with Technology Package,Red,Black,"Houston, TX",0
2017,Acura,TLX,38925,18637.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Black,Black,"Dallas, GA",0
2017,Acura,TLX,45394,18997.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,White,Beige,"Lubbock, TX",1
2017,Acura,TLX,31900,19909.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Blue,Black,"Naperville, IL",0
2017,Acura,TLX,31827,19200.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Silver,Gray,"Brookfield, WI",0
2020,Acura,TLX,997,29498.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Black,Black,"Palatine, IL",0
2017,Acura,TLX,25040,16988.0,FWD,2.4L Inline-4,I4 FWD,Silver,Gray,"Richardson, TX",2
2018,Acura,TLX,17742,25700.0,FWD,3.5L V-6,3.5L FWD with Technology Package,Red,Black,"Sierra Vista, AZ",0
2017,Acura,TLX,32117,18990.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,White,Unknown,"Hampton, VA",0
2017,Acura,TLX,24318,21408.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Silver,Beige,"Carmel, IN",0
2015,Acura,TLX,64653,14848.0,FWD,2.4L Inline-4,FWD with Technology Package,Silver,Black,"Poway, CA",0
2017,Acura,TLX,31077,19450.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Red,Beige,"Pleasanton, CA",0
2017,Acura,TLX,24285,23999.0,SH-AWD,3.5L V-6,V6 SH-AWD with Advance Package,Silver,Black,"Dublin, OH",0
2016,Acura,TLX,5416,20999.0,FWD,3.5L V-6,V6 FWD with Technology Package,White,Black,"Azusa, CA",1
2017,Acura,TLX,65418,18000.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Black,Black,"Branson West, MO",1
2016,Acura,TLX,32005,15459.0,FWD,2.4L Inline-4,FWD,Black,Brown,"Hazard, KY",1
2019,Acura,TLX,16010,24295.0,FWD,2.4L Inline-4,2.4L FWD,Gray,Unknown,"Oakland, CA",0
2017,Acura,TLX,29318,22288.0,FWD,3.5L V-6,V6 FWD with Technology Package,Silver,Gray,"Gainesville, GA",0
2015,Acura,TLX,109218,13000.0,FWD,2.4L Inline-4,FWD with Technology Package,Black,Black,"Newport News, VA",0
2017,Acura,TLX,17916,18988.0,FWD,2.4L Inline-4,I4 FWD,Gray,Black,"Hoffman Estates, IL",0
2018,Acura,TLX,24816,22909.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Red,Black,"Naperville, IL",0
2016,Acura,TLX,38312,15881.0,FWD,2.4L Inline-4,FWD,White,Black,"Chantilly, VA",0
2017,Acura,TLX,44535,17325.0,FWD,2.4L Inline-4,I4 FWD,Silver,Black,"Louisville, KY",0
2017,Acura,TLX,43526,16568.0,FWD,2.4L Inline-4,I4 FWD,Black,Black,"Woodstock, GA",0
2017,Acura,TLX,36062,16636.0,FWD,3.5L V-6,V6 FWD,Gray,Black,"Warrenton, VA",0
2016,Acura,TLX,36066,19250.0,FWD,3.5L V-6,V6 FWD with Technology Package,Silver,Black,"Hoffman Estates, IL",0
2015,Acura,TLX,29802,17994.0,FWD,3.5L V-6,V6 FWD with Advance Package,Red,Unknown,"Forest Hills, NY",0
2017,Acura,TLX,36629,19590.0,FWD,3.5L V-6,V6 FWD,White,Black,"Rosedale, MD",0
2018,Acura,TLX,14409,23777.0,SH-AWD,3.5L V-6,3.5L SH-AWD,Blue,Black,"La Vista, NE",0
2018,Acura,TLX,51621,17990.0,FWD,2.4L Inline-4,2.4L FWD,Black,Black,"Arlington, TX",0
2019,Acura,TLX,7701,27495.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Silver,Unknown,"Oakland, CA",0
2017,Acura,TLX,29186,19233.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Black,Black,"Clarksville, TN",0
2015,Acura,TLX,37685,17000.0,FWD,3.5L V-6,V6 FWD with Technology Package,White,Brown,"Tampa, FL",0
2017,Acura,TLX,34685,20936.0,FWD,3.5L V-6,V6 FWD with Technology Package,Black,Black,"Minneapolis, MN",0
2016,Acura,TLX,49710,14990.0,FWD,3.5L V-6,V6 FWD,Silver,Beige,"Raleigh, NC",2
2017,Acura,TLX,29802,19995.0,FWD,3.5L V-6,V6 FWD with Technology Package,Red,Unknown,"Virginia Beach, VA",0
2016,Acura,TLX,28981,19997.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Black,"Columbus, GA",0
2016,Acura,TLX,23370,16900.0,FWD,2.4L Inline-4,FWD,Gray,Black,"Bluffton, SC",0
2020,Acura,TLX,4921,25698.0,FWD,2.4L Inline-4,2.4L FWD,White,Black,"Palatine, IL",0
2017,Acura,TLX,44432,16499.0,FWD,3.5L V-6,V6 FWD,Unknown,Black,"San Bernardino, CA",1
2018,Acura,TLX,23714,28145.0,FWD,3.5L V-6,3.5L FWD with Advance Package,Blue,Black,"Temecula, CA",0
2018,Acura,TLX,51621,17990.0,FWD,2.4L Inline-4,2.4L FWD,Black,Black,"Arlington, TX",0
2017,Acura,TLX,17916,18988.0,FWD,2.4L Inline-4,I4 FWD,Gray,Black,"Hoffman Estates, IL",0
2018,Acura,TLX,14409,23777.0,SH-AWD,3.5L V-6,3.5L SH-AWD,Blue,Black,"La Vista, NE",0
2018,Acura,TLX,24816,22909.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Red,Black,"Naperville, IL",0
2020,Acura,TLX,4510,30403.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Silver,Black,"Temecula, CA",0
2017,Acura,TLX,36049,21988.0,FWD,3.5L V-6,V6 FWD with Technology Package,Black,Black,"Durham, NC",0
2017,Acura,TLX,44535,17325.0,FWD,2.4L Inline-4,I4 FWD,Silver,Black,"Louisville, KY",0
2017,Acura,TLX,22977,20980.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Black,Beige,"Chesapeake, VA",0
2017,Acura,TLX,11342,19967.0,FWD,3.5L V-6,V6 FWD,Red,Black,"Royersford, PA",0
2017,Acura,TLX,18500,18980.0,FWD,3.5L V-6,V6 FWD,White,Black,"Woodstock, GA",0
2017,Acura,TLX,73654,15797.0,FWD,3.5L V-6,V6 FWD,Black,Black,"Hoffman Estates, IL",0
2019,Acura,TLX,28435,27374.0,FWD,3.5L V-6,3.5L FWD with A-Spec Package,Black,Red,"Sarasota, FL",0
2017,Acura,TLX,43526,16568.0,FWD,2.4L Inline-4,I4 FWD,Black,Black,"Woodstock, GA",0
2017,Acura,TLX,32611,21377.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Blue,Black,"Willimantic, CT",0
2019,Acura,TLX,16010,24295.0,FWD,2.4L Inline-4,2.4L FWD,Gray,Unknown,"Oakland, CA",0
